NodeID	Property	Value
311212	title	Rice Milling 
311213	title	Malt Manufacturing 
31122	title	Starch and Vegetable Fats and Oils Manufacturing
311221	title	Wet Corn Milling 
311224	title	Soybean and Other Oilseed Processing 
311225	title	Fats and Oils Refining and Blending 
31123	title	Breakfast Cereal Manufacturing
311230	title	Breakfast Cereal Manufacturing
3113	title	Sugar and Confectionery Product Manufacturing
31131	title	Sugar Manufacturing
311313	title	Beet Sugar Manufacturing 
311314	title	Cane Sugar Manufacturing 
31134	title	Nonchocolate Confectionery Manufacturing
311340	title	Nonchocolate Confectionery Manufacturing
31135	title	Chocolate and Confectionery Manufacturing
311351	title	Chocolate and Confectionery Manufacturing from Cacao Beans 
311352	title	Confectionery Manufacturing from Purchased Chocolate 
3114	title	Fruit and Vegetable Preserving and Specialty Food Manufacturing
31141	title	Frozen Food Manufacturing
311411	title	Frozen Fruit, Juice, and Vegetable Manufacturing 
311412	title	Frozen Specialty Food Manufacturing 
31142	title	Fruit and Vegetable Canning, Pickling, and Drying
311421	title	Fruit and Vegetable Canning 
311422	title	Specialty Canning 
311423	title	Dried and Dehydrated Food Manufacturing 
3115	title	Dairy Product Manufacturing
31151	title	Dairy Product (except Frozen) Manufacturing
311511	title	Fluid Milk Manufacturing 
311512	title	Creamery Butter Manufacturing 
311513	title	Cheese Manufacturing 
311514	title	Dry, Condensed, and Evaporated Dairy Product Manufacturing 
31152	title	Ice Cream and Frozen Dessert Manufacturing
311520	title	Ice Cream and Frozen Dessert Manufacturing
3116	title	Animal Slaughtering and Processing
31161	title	Animal Slaughtering and Processing
311611	title	Animal (except Poultry) Slaughtering 
311612	title	Meat Processed from Carcasses 
311613	title	Rendering and Meat Byproduct Processing 
311615	title	Poultry Processing 
3117	title	Seafood Product Preparation and Packaging
31171	title	Seafood Product Preparation and Packaging
311710	title	Seafood Product Preparation and Packaging
3118	title	Bakeries and Tortilla Manufacturing
31181	title	Bread and Bakery Product Manufacturing
311811	title	Retail Bakeries 
311812	title	Commercial Bakeries 
311813	title	Frozen Cakes, Pies, and Other Pastries Manufacturing 
31182	title	Cookie, Cracker, and Pasta Manufacturing
311821	title	Cookie and Cracker Manufacturing 
311824	title	Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour 
31183	title	Tortilla Manufacturing
311830	title	Tortilla Manufacturing
3119	title	Other Food Manufacturing
31191	title	Snack Food Manufacturing
311911	title	Roasted Nuts and Peanut Butter Manufacturing 
311919	title	Other Snack Food Manufacturing 
31192	title	Coffee and Tea Manufacturing
